1.000000,0.000000,0.000000
1.000000,0.003344,0.000000
1.000000,0.006689,0.000000
1.000000,0.010033,0.000000
1.000000,0.013378,0.000000
1.000000,0.016722,0.000000
1.000000,0.020067,0.000000
1.000000,0.023411,0.000000
1.000000,0.026756,0.000000
1.000000,0.030100,0.000000
1.000000,0.033445,0.000000
1.000000,0.036789,0.000000
1.000000,0.040134,0.000000
1.000000,0.043478,0.000000
1.000000,0.046823,0.000000
1.000000,0.050167,0.000000
1.000000,0.053512,0.000000
1.000000,0.056856,0.000000
1.000000,0.060201,0.000000
1.000000,0.063545,0.000000
1.000000,0.066890,0.000000
1.000000,0.070234,0.000000
1.000000,0.073579,0.000000
1.000000,0.076923,0.000000
1.000000,0.080268,0.000000
1.000000,0.083612,0.000000
1.000000,0.086957,0.000000
1.000000,0.090301,0.000000
1.000000,0.093645,0.000000
1.000000,0.096990,0.000000
1.000000,0.100334,0.000000
1.000000,0.103679,0.000000
1.000000,0.107023,0.000000
1.000000,0.110368,0.000000
1.000000,0.113712,0.000000
1.000000,0.117057,0.000000
1.000000,0.120401,0.000000
1.000000,0.123746,0.000000
1.000000,0.127090,0.000000
1.000000,0.130435,0.000000
1.000000,0.133779,0.000000
1.000000,0.137124,0.000000
1.000000,0.140468,0.000000
1.000000,0.143813,0.000000
1.000000,0.147157,0.000000
1.000000,0.150502,0.000000
1.000000,0.153846,0.000000
1.000000,0.157191,0.000000
1.000000,0.160535,0.000000
1.000000,0.163880,0.000000
1.000000,0.167224,0.000000
1.000000,0.170569,0.000000
1.000000,0.173913,0.000000
1.000000,0.177258,0.000000
1.000000,0.180602,0.000000
1.000000,0.183946,0.000000
1.000000,0.187291,0.000000
1.000000,0.190635,0.000000
1.000000,0.193980,0.000000
1.000000,0.197324,0.000000
1.000000,0.200669,0.000000
1.000000,0.204013,0.000000
1.000000,0.207358,0.000000
1.000000,0.210702,0.000000
1.000000,0.214047,0.000000
1.000000,0.217391,0.000000
1.000000,0.220736,0.000000
1.000000,0.224080,0.000000
1.000000,0.227425,0.000000
1.000000,0.230769,0.000000
1.000000,0.234114,0.000000
1.000000,0.237458,0.000000
1.000000,0.240803,0.000000
1.000000,0.244147,0.000000
1.000000,0.247492,0.000000
1.000000,0.250836,0.000000
1.000000,0.254181,0.000000
1.000000,0.257525,0.000000
1.000000,0.260870,0.000000
1.000000,0.264214,0.000000
1.000000,0.267559,0.000000
1.000000,0.270903,0.000000
1.000000,0.274247,0.000000
1.000000,0.277592,0.000000
1.000000,0.280936,0.000000
1.000000,0.284281,0.000000
1.000000,0.287625,0.000000
1.000000,0.290970,0.000000
1.000000,0.294314,0.000000
1.000000,0.297659,0.000000
1.000000,0.301003,0.000000
1.000000,0.304348,0.000000
1.000000,0.307692,0.000000
1.000000,0.311037,0.000000
1.000000,0.314381,0.000000
1.000000,0.317726,0.000000
1.000000,0.321070,0.000000
1.000000,0.324415,0.000000
1.000000,0.327759,0.000000
1.000000,0.331104,0.000000
1.000000,0.334448,0.000000
1.000000,0.337793,0.000000
1.000000,0.341137,0.000000
1.000000,0.344482,0.000000
1.000000,0.347826,0.000000
1.000000,0.351171,0.000000
1.000000,0.354515,0.000000
1.000000,0.357860,0.000000
1.000000,0.361204,0.000000
1.000000,0.364548,0.000000
1.000000,0.367893,0.000000
1.000000,0.371237,0.000000
1.000000,0.374582,0.000000
1.000000,0.377926,0.000000
1.000000,0.381271,0.000000
1.000000,0.384615,0.000000
1.000000,0.387960,0.000000
1.000000,0.391304,0.000000
1.000000,0.394649,0.000000
1.000000,0.397993,0.000000
1.000000,0.401338,0.000000
1.000000,0.404682,0.000000
